Review,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
R_w2v_train_11,-0.024676848,0.09136668,-0.01617336,0.09404148,0.060812198,-0.28534102,0.15623863,0.39201674,-0.12962624,-0.05675551,-0.07196439,-0.14669134,-0.049067475,0.068079,0.086112805,-0.13555616,0.121404134,-0.11366828,-0.07813308,-0.33144024,0.17288366,0.03439255,0.13286239,-0.043568317,-0.080490865,0.026491137,-0.054046765,-0.018779924,-0.12323305,0.018417068,0.1466215,-0.05599111,0.11970471,-0.19261917,-0.05632204,0.23763508,0.058121555,-0.0834736,-0.12971717,-0.22621219,-0.048498057,-0.14305021,-0.09837933,0.050617255,0.17237273,-0.016638799,-0.1294541,-0.017970188,0.12770969,0.1171259,0.08456923,-0.05110753,-0.05018393,-0.07933177,-0.04556066,0.02788626,0.14320555,-0.029947745,-0.110269465,0.07332625,0.031724714,0.019261863,0.13635863,-0.0007120496,-0.13818021,0.23520634,0.065531686,0.2737313,-0.20679276,0.14722866,-0.06924207,0.11740429,0.14273307,0.06270928,0.14762118,0.07884025,0.022955388,0.08952589,-0.14748318,-0.06751043,-0.13895407,-0.022839915,-0.16137908,0.19707972,-0.02973137,0.0023986031,0.12265837,0.16309187,0.17011046,0.013910883,0.2514799,0.17323424,0.041592676,0.018823545,0.3768944,0.18392171,0.12820762,-0.17684558,0.04785857,-0.07231411
R_w2v_train_12,-0.012943688,0.12351795,-0.00442374,0.111041136,0.06467843,-0.3553859,0.17428678,0.4829434,-0.14897339,-0.056246698,-0.100217134,-0.20448188,-0.08006418,0.05941621,0.088915735,-0.1603849,0.15080135,-0.16383104,-0.07061141,-0.400434,0.21593164,0.07201377,0.15043117,-0.070646524,-0.08801486,0.054737255,-0.10529959,-0.059340667,-0.16947544,0.02110702,0.19083738,-0.049949195,0.16061856,-0.2083946,-0.10638892,0.28573957,0.043658864,-0.084707044,-0.16978218,-0.31107232,-0.052630644,-0.20526628,-0.12479981,0.0744587,0.22185917,-0.021195477,-0.17004149,-0.026908055,0.1627354,0.16914254,0.11914238,-0.05931257,-0.07093264,-0.0972577,-0.061334714,0.04991125,0.19682457,-0.036618542,-0.16398753,0.080911785,0.032089517,0.050022904,0.13394652,-0.018588498,-0.18861622,0.27913967,0.090304255,0.31590876,-0.23538321,0.18392403,-0.11552295,0.121991076,0.19597735,0.047147695,0.19615622,0.09608524,0.034594532,0.09982755,-0.16867633,-0.09645563,-0.15964456,-0.029880064,-0.20287313,0.2401491,-0.020853495,0.023751704,0.12690209,0.21495275,0.21627645,-0.012454112,0.33522955,0.20693612,0.06931035,0.046955734,0.48019394,0.2180667,0.16430427,-0.19733149,0.04866642,-0.090956055
R_w2v_train_13,-0.016875692,0.09625457,-0.025694404,0.13207081,0.10018875,-0.38322288,0.21112944,0.50541437,-0.1680384,-0.06904846,-0.085228465,-0.18558733,-0.071636155,0.106496714,0.123362295,-0.14976855,0.16717046,-0.11221224,-0.09781308,-0.43087047,0.23442948,0.0316756,0.18563953,-0.074360795,-0.08222435,0.03021402,-0.07183157,0.0065469434,-0.16364738,0.03637441,0.19065325,-0.092549734,0.15685375,-0.26048732,-0.054703977,0.33147907,0.09909403,-0.064338915,-0.14871885,-0.2523524,-0.034517158,-0.2027031,-0.16905415,0.04167307,0.21091257,-0.024013836,-0.13614754,-0.040322695,0.18167163,0.14188671,0.12218969,-0.08681146,-0.05076166,-0.080231994,-0.049238324,0.04984591,0.19620726,-0.037855893,-0.110045955,0.10391267,0.03259087,-0.005166422,0.19301814,-0.00943612,-0.18228547,0.33352655,0.12244547,0.355718,-0.25358284,0.21408448,-0.093525015,0.13336408,0.18957743,0.11222995,0.18282875,0.06421931,0.035784148,0.117309414,-0.17612872,-0.08493848,-0.23358975,-0.031300247,-0.21902753,0.235028,-0.047405854,-0.03851957,0.17961246,0.17873384,0.2263702,0.009919308,0.3109774,0.21966125,0.07066399,0.012767495,0.46808803,0.22863682,0.15798482,-0.20112592,0.025549022,-0.08201029
R_w2v_train_14,-0.03280659,0.109126166,-0.01361565,0.10329452,0.05825439,-0.31825453,0.16462779,0.44101986,-0.1395695,-0.052921176,-0.08790408,-0.16472694,-0.06569591,0.06997756,0.09555812,-0.15014692,0.13022107,-0.1386217,-0.084918514,-0.37201482,0.19445026,0.05269136,0.14339224,-0.052056886,-0.08946553,0.037248902,-0.08010961,-0.040621933,-0.1430257,0.020806136,0.16601105,-0.053352244,0.14271519,-0.20422755,-0.07393448,0.2674172,0.055054627,-0.086600766,-0.15094724,-0.26116183,-0.055366613,-0.16765544,-0.106831014,0.06307104,0.19688185,-0.021474853,-0.14851394,-0.019409101,0.14663008,0.1365916,0.103058286,-0.053409107,-0.057446294,-0.084891155,-0.048607476,0.042029016,0.16331777,-0.039796,-0.13442431,0.07674982,0.025093788,0.036394846,0.12782454,-0.011746097,-0.16428676,0.25008675,0.072782606,0.2944702,-0.22263578,0.16732207,-0.098199405,0.121783845,0.16698644,0.055933487,0.16967483,0.0892701,0.019523958,0.09419568,-0.16131036,-0.08646237,-0.1401139,-0.027833126,-0.17221679,0.22015327,-0.028296834,0.024433289,0.11671225,0.18798845,0.19457603,0.0070469347,0.29754856,0.18967696,0.052243717,0.023894528,0.42884874,0.2020183,0.14679104,-0.1949947,0.049860187,-0.07260418
R_w2v_train_15,-0.05234872,0.1332313,-0.021007884,0.09101962,0.06284045,-0.32314184,0.17370012,0.4640444,-0.14835037,-0.06465629,-0.094565086,-0.18259569,-0.05831197,0.06662379,0.095172994,-0.16542493,0.1390471,-0.16746439,-0.0753613,-0.3864823,0.1961166,0.05115214,0.15001647,-0.04699877,-0.110323146,0.045289725,-0.08172601,-0.053107355,-0.1403292,0.029178193,0.19255216,-0.040529694,0.13498507,-0.21126685,-0.078375645,0.27434647,0.047611766,-0.11725093,-0.16748242,-0.29574266,-0.06761093,-0.17678356,-0.077155836,0.08134822,0.21877287,-0.012280787,-0.16889954,-0.015155422,0.13791612,0.14548624,0.113668576,-0.044778626,-0.066662975,-0.104700916,-0.060817618,0.049132325,0.16949439,-0.031955775,-0.15796927,0.06752376,0.03355254,0.054625154,0.11472194,-0.009216747,-0.16757321,0.24359621,0.06807264,0.30626184,-0.22680184,0.16202912,-0.10363303,0.12559897,0.17632413,0.05140155,0.17742501,0.11228806,0.009687344,0.101666726,-0.16421108,-0.0794944,-0.13383839,-0.020906862,-0.17889203,0.2348416,-0.0032087825,0.047865905,0.11739327,0.22089384,0.20995505,0.007968142,0.31644866,0.20202664,0.047704186,0.025636138,0.45109814,0.21632023,0.17788668,-0.23800933,0.080391355,-0.08405162
R_w2v_train_16,-0.025996283,0.10761064,-0.026772339,0.09953612,0.058873188,-0.33039266,0.1568255,0.44073397,-0.14176157,-0.05369305,-0.08530952,-0.1663223,-0.07070503,0.07494475,0.107806385,-0.15081072,0.13068461,-0.14064527,-0.076805726,-0.37832728,0.20231399,0.054437727,0.14385888,-0.0535775,-0.0879813,0.048132204,-0.08958316,-0.047507588,-0.14421225,0.01791173,0.17608657,-0.049839802,0.13892579,-0.20054841,-0.08087363,0.259914,0.0349457,-0.0963786,-0.16193222,-0.2774059,-0.05631859,-0.16472298,-0.09791821,0.06496236,0.20043263,-0.014109263,-0.15750891,-0.02720206,0.13915691,0.13570718,0.10951612,-0.05156923,-0.06255137,-0.088453054,-0.04386772,0.033183865,0.16637541,-0.03415663,-0.15040925,0.07716343,0.022935096,0.04472795,0.12509343,-0.018148033,-0.17213623,0.2580567,0.07927023,0.29707208,-0.21878473,0.16585645,-0.10795127,0.12481575,0.1627121,0.046809115,0.18126467,0.0939102,0.012688303,0.10469463,-0.16158976,-0.09211443,-0.13397467,-0.028910205,-0.17219785,0.23508415,-0.014714313,0.034736786,0.11302771,0.1862109,0.19281459,-0.00012254048,0.30851167,0.19262451,0.051125497,0.024866398,0.43464035,0.20700455,0.15113987,-0.20471187,0.05443865,-0.06889428
R_w2v_train_17,-0.032088105,0.094034426,-0.016501147,0.078307435,0.050902918,-0.26055145,0.1324063,0.3583779,-0.12012781,-0.046822585,-0.07184633,-0.13891563,-0.048297405,0.05786303,0.07985994,-0.1247303,0.106569305,-0.12118454,-0.062220473,-0.3070785,0.15577695,0.043154478,0.11842335,-0.040428046,-0.07949113,0.035513587,-0.06477315,-0.035156634,-0.11672472,0.015680745,0.14766166,-0.040348295,0.10559315,-0.16972858,-0.06166251,0.21566392,0.04068975,-0.08603592,-0.12622002,-0.22147688,-0.046011366,-0.13340464,-0.07969373,0.053268798,0.16458449,-0.008637746,-0.1263933,-0.015918579,0.11200723,0.109866686,0.08775469,-0.04310838,-0.049935322,-0.07333113,-0.045453813,0.029769918,0.13262717,-0.02451444,-0.11922263,0.06100341,0.02500691,0.03507734,0.10468257,-0.0069604507,-0.13094611,0.20645936,0.060686264,0.2416826,-0.17985286,0.13237974,-0.07934889,0.10331496,0.13366364,0.043405674,0.13438936,0.08274792,0.012943651,0.081289634,-0.12727477,-0.06851611,-0.11192029,-0.02085603,-0.14300202,0.18541066,-0.015250092,0.024141822,0.09813296,0.1598002,0.16102949,0.009343455,0.2404987,0.15613717,0.0398455,0.020677576,0.35312492,0.17078963,0.12881733,-0.17396617,0.053031232,-0.06443065
R_w2v_train_18,-0.027493324,0.13436687,-0.00036416366,0.12868261,0.05124636,-0.3209855,0.17110327,0.4896977,-0.15549469,-0.07207763,-0.0930544,-0.20237818,-0.11269513,0.065064505,0.06838243,-0.13376343,0.14195216,-0.17044109,-0.08761403,-0.39295363,0.17850599,0.07336992,0.13439539,-0.056656882,-0.09436694,0.0549634,-0.14093938,-0.09000869,-0.19079414,0.011126587,0.16829507,-0.04738799,0.16739191,-0.22271086,-0.08687067,0.28571555,0.045016773,-0.05189549,-0.15696438,-0.29103154,-0.06777245,-0.21456811,-0.12113659,0.111954555,0.22042836,-0.023269545,-0.19282812,-0.017316792,0.16171724,0.18827984,0.1095589,-0.042565793,-0.04364673,-0.057896003,-0.07973501,0.05236234,0.17606378,-0.057895154,-0.17589432,0.0928042,0.04465439,0.06109842,0.1097975,-0.001983,-0.18539089,0.22776458,0.060587972,0.31669003,-0.20138681,0.17844923,-0.105457634,0.12491143,0.18758306,0.003219238,0.1924223,0.08230585,0.035695005,0.10804941,-0.12508325,-0.118244395,-0.12072017,-0.05528505,-0.19642085,0.2097094,-0.041640528,0.04854133,0.092234194,0.20108056,0.23455088,-0.017980069,0.3402529,0.19612691,0.08048551,0.044478998,0.4559654,0.19065566,0.12715693,-0.19431908,0.043176882,-0.06783319
R_w2v_train_19,-0.047574285,0.15421991,-0.0041642245,0.082419716,0.06617728,-0.30126184,0.18755333,0.46268526,-0.16513444,-0.06511905,-0.098311566,-0.17524062,-0.056950938,0.06372782,0.070442535,-0.17326331,0.13017292,-0.1533773,-0.06830887,-0.37875667,0.17788498,0.039344627,0.13967712,-0.045242142,-0.1188783,0.02841539,-0.09020718,-0.052562594,-0.13934635,0.036094043,0.17364208,-0.041665055,0.1290768,-0.22924888,-0.054470558,0.27004063,0.055737197,-0.082386784,-0.15598123,-0.2720413,-0.05829413,-0.19617754,-0.0899265,0.09923569,0.2125519,-0.03664132,-0.15643738,-0.020946503,0.13631247,0.14390726,0.11337227,-0.025971517,-0.043099348,-0.09121593,-0.06623496,0.05127284,0.16298485,-0.042682365,-0.14690818,0.07351462,0.055840805,0.030845629,0.11593548,0.003836706,-0.15352824,0.22386102,0.063400604,0.29764342,-0.2173268,0.15478508,-0.08811263,0.11301544,0.16272339,0.07560975,0.17815696,0.11877235,0.018042231,0.11389187,-0.1361665,-0.055294324,-0.14185083,-0.015825255,-0.1768354,0.1931815,-0.028846523,0.031266972,0.13047868,0.2147889,0.2275554,0.019704519,0.3029132,0.19108798,0.042429935,0.018443242,0.43627074,0.18768156,0.17100006,-0.21989052,0.072734594,-0.096280195
R_w2v_train_20,-0.041788366,0.12364626,-0.015694605,0.09374664,0.06396194,-0.31488857,0.17169337,0.44757906,-0.1467774,-0.06527519,-0.08540877,-0.17085673,-0.06035154,0.06478887,0.090984024,-0.15741141,0.13388002,-0.14842157,-0.08528177,-0.36997774,0.18554872,0.052110698,0.15227,-0.0449494,-0.103509374,0.04311757,-0.07541975,-0.040924963,-0.13916309,0.022691406,0.17043011,-0.04860723,0.1288326,-0.21351169,-0.06941422,0.26444256,0.05726211,-0.10173113,-0.15373628,-0.2676759,-0.065084614,-0.16910094,-0.0896804,0.0700031,0.20308709,-0.013060276,-0.1531768,-0.019274237,0.13929097,0.13770773,0.10417571,-0.044430673,-0.05795981,-0.09808391,-0.06672046,0.03719848,0.16548814,-0.029287206,-0.14014892,0.07555047,0.03706216,0.03725815,0.12943779,-0.0026379991,-0.15245159,0.24564432,0.067318074,0.30429062,-0.22648185,0.15928985,-0.089464515,0.12508021,0.16066179,0.06262522,0.16677137,0.10115845,0.015598051,0.1034781,-0.15789,-0.07549134,-0.1413258,-0.02172236,-0.17650402,0.21950334,-0.023723288,0.024376698,0.129051,0.19625753,0.20019631,0.010747999,0.29200715,0.19036247,0.045058046,0.022566339,0.4308282,0.20657766,0.15956417,-0.21715198,0.059336558,-0.08657161
